Experiment Name:,2019_experiment_31217_DARPA_HLTH_IR,
Primary Researcher:,Irene Ramos-Lopez,
Compensation used:,File-internal Compensation,
Exported at:,November 25 2019 - 03:41 pm,
Link to experiment:,https://mtsinai.cytobank.org/cytobank/experiments/33712,
,,
FCS Filename,Event Counts of Cells-beads,% of CD45_live cells in Cells-beads
190708_STSE04_2010113265_debc_6.fcs,372268,87.505
190708_STSE04_2010113295_debc_6.fcs,486203,92.7113
190708_STSE04_2010113335_debc_6.fcs,319360,92.619
190708_STSE04_2010113383_debc_6.fcs,337466,94.4332
190708_STSE04_2010113567_debc_6.fcs,371228,92.6587
190708_STSE04_2010113615_debc_6.fcs,293747,93.0941
190709_STSE04_2010113330_debc_6.fcs,432872,85.1868
190709_STSE04_2010113369_debc_6.fcs,479848,89.5907
190709_STSE04_2010113373_debc_6.fcs,372502,91.8097
190709_STSE04_2010113614_debc_6.fcs,453398,88.6704
190709_STSE04_2010113719_debc_6.fcs,575712,92.3542
